base,past,past_participle,type
be,was/were,been,irregular
become,became,become,irregular
begin,began,begun,irregular
break,broke,broken,irregular
bring,brought,brought,irregular
build,built,built,irregular
buy,bought,bought,irregular
catch,caught,caught,irregular
choose,chose,chosen,irregular
come,came,come,irregular
cost,cost,cost,irregular
cut,cut,cut,irregular
do,did,done,irregular
draw,drew,drawn,irregular
drink,drank,drunk,irregular
drive,drove,driven,irregular
eat,ate,eaten,irregular
fall,fell,fallen,irregular
feel,felt,felt,irregular
find,found,found,irregular
fly,flew,flown,irregular
forget,forgot,forgotten,irregular
get,got,got/gotten,irregular
give,gave,given,irregular
go,went,gone,irregular
grow,grew,grown,irregular
have,had,had,irregular
hear,heard,heard,irregular
keep,kept,kept,irregular
know,knew,known,irregular
leave,left,left,irregular
let,let,let,irregular
lose,lost,lost,irregular
make,made,made,irregular
meet,met,met,irregular
pay,paid,paid,irregular
put,put,put,irregular
read,read,read,irregular
run,ran,run,irregular
say,said,said,irregular
see,saw,seen,irregular
sell,sold,sold,irregular
send,sent,sent,irregular
sit,sat,sat,irregular
sleep,slept,slept,irregular
speak,spoke,spoken,irregular
stand,stood,stood,irregular
take,took,taken,irregular
teach,taught,taught,irregular
tell,told,told,irregular
think,thought,thought,irregular
understand,understood,understood,irregular
wear,wore,worn,irregular
win,won,won,irregular
write,wrote,written,irregular
accept,accepted,accepted,regular
add,added,added,regular
answer,answered,answered,regular
arrive,arrived,arrived,regular
ask,asked,asked,regular
believe,believed,believed,regular
call,called,called,regular
clean,cleaned,cleaned,regular
close,closed,closed,regular
cook,cooked,cooked,regular
dance,danced,danced,regular
decide,decided,decided,regular
deliver,delivered,delivered,regular
develop,developed,developed,regular
enjoy,enjoyed,enjoyed,regular
explain,explained,explained,regular
finish,finished,finished,regular
help,helped,helped,regular
hope,hoped,hoped,regular
improve,improved,improved,regular
invite,invited,invited,regular
join,joined,joined,regular
learn,learned,learned,regular
like,liked,liked,regular
listen,listened,listened,regular
live,lived,lived,regular
look,looked,looked,regular
love,loved,loved,regular
need,needed,needed,regular
open,opened,opened,regular
play,played,played,regular
rain,rained,rained,regular
remember,remembered,remembered,regular
start,started,started,regular
stop,stoped,stoped,regular
study,studied,studied,regular
talk,talked,talked,regular
travel,traveled,traveled,regular
try,tried,tried,regular
use,used,used,regular
visit,visited,visited,regular
wait,waited,waited,regular
walk,walked,walked,regular
want,wanted,wanted,regular
watch,watched,watched,regular
work,worked,worked,regular
